sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
2710,Garima Leasing Co Ltd,Kolkata,No,ICC,U65910WB1986PLC040137,Base
2711,Garima Suppliers (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC078962,Base
2712,Garner Finance & Securities Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC060971,Base
2713,Garnet International Limited,Mumbai,No,Type-I,L74110MH1995PLC093448,Base
2714,Garodia Securities Ltd.,Kolkata,No,ICC,U67120WB1995PLC071478,Base
2715,Garodia Traxim Pvt. Ltd.,Kolkata,No,ICC,U51909WB1996PTC078003,Base
2716,Garry Supply (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC069491,Base
2717,Garud Credit & Holdings (P) Ltd,Kolkata,No,ICC,U65993CT1995PTC012867,Base
2718,Garuda Securities Pvt. Ltd.,New Delhi,No,ICC,U74899DL1993PTC053318,Base
2719,Garware Capital Markets Ltd,Mumbai,No,ICC,U74999MH1960PLC011653,Base
2720,Gas & Power Investment Company Limited,Mumbai,No,ICC,U65993MH2005PLC151296,Middle
2721,Gateway Fincons India Ltd,Kolkata,No,ICC,L51100WB1992PLC056030,Base
2722,Gateway Leasing Pvt Ltd,Mumbai,No,ICC,U65191MH1996PTC247986,Base
2723,Gaunik Commodities (P) Ltd,Kolkata,No,ICC,U63090WB1994PTC066727,Base
2724,Gaurangi Rathi Financial Services Pvt. Ltd.,New Delhi,No,ICC,U65921DL1993PTC052270,Base
2725,Gaurav Agencies (P) Ltd,Kolkata,No,ICC,U65923WB1991PTC051479,Base
2726,Gaurav Commodeal Pvt. Ltd.,Kolkata,No,ICC,U65100WB1997PTC234821,Base
2727,Gaurav Credits Pvt. Ltd.,New Delhi,No,ICC,U74899DL1986PTC024483,Base
2728,Gaurav Finance Private Limited (Formerly Gaurav Finance Ltd),Kolkata,No,ICC,U65923WB1984PLC049297,Base
2729,Gaurav Fincap Pvt. Ltd.,New Delhi,No,ICC,U74899DL1995PTC072488,Base
2730,Gaurav Rose Real Estate (P) Ltd,Kolkata,No,ICC,U70101WB1991PTC051703,Base
2731,Gauriputra Investments & Trading Co. Pvt. Ltd.,Mumbai,No,ICC,U65990MH1980PTC022197,Base
2732,Gautam Fin-Invest Pvt Ltd.,New Delhi,No,ICC,U67120HR1996PTC040727,Base
2733,Gautam Resources Ltd,Kolkata,No,ICC,L51109WB1982PLC035391,Base
2734,Gavde Finance Pvt. Ltd,Mumbai,No,ICC,U65923MH1992PTC069244,Base
2735,Gayatri Portfolio Fund (P) Ltd,Kolkata,No,ICC,U67120WB1994PTC065011,Base
2736,Gaylord Commercial Co Ltd,Kolkata,No,ICC,U17232WB1983PLC035978,Base
2737,Gaylord Mercantile P Ltd,Kolkata,No,ICC,U51109WB1996PTC076416,Base
2738,Gaylord Sales Pvt Ltd,Kolkata,No,ICC,U51909WB1995PTC070655,Base
2739,GBCO Holding Private Limited,Kolkata,No,Type-I,U64990WB2023PTC262581,Base
2740,Gbulani Rural Finance Private Limited,Mumbai,No,ICC,U65999MH2017PTC292881,Base
2741,GCB Capital Finance Pvt.Ltd.,New Delhi,No,ICC,U74899DL1994PTC061459,Base
2742,GD Capital Pvt. Ltd.,New Delhi,No,ICC,U74899DL1993PTC056503,Base
2743,Gearman Engg . Co . Pvt Ltd,Kolkata,No,ICC,U31103WB1989PTC046845,Base
2744,Gee Cee Advance Finance Private Limited (Formerly: Gee Cee Advance Finance Limited),Jammu,No,ICC,U67120JK1997PTC001632,Base
2745,Geecee Fincap Limited (Formerly GCIL Finance Ltd.),Mumbai,No,ICC,U67120MH2008PLC179126,Middle
2746,Geekay Commercial & Credit Services Pvt. Ltd.,Kolkata,No,ICC,U67190WB1995PTC071322,Base
2747,Geetanjali Credit And Capital Limited,Bengaluru,No,ICC,L21012KA1990PLC143422,Base
2748,Geetanjali Trading and Investments Private Limited (CIC),Mumbai,No,CIC,U65990MH1979PTC021049,Middle
2749,Geetganga Investment Private Limited,Ahmedabad,No,ICC,U65910GJ1989PTC012889,Base
2750,Gembel Trade Enterprises Ltd,Kolkata,No,ICC,U51226WB1983PTC035689,Base
2751,Gemco Engineering Industries Limited,Kolkata,No,ICC,U29100WB1986PTC104572,Base
2752,Gemini Dealcomm (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC064038,Base
2753,Gemini Goods & Dealers Pvt. Ltd.,Kolkata,No,ICC,U51109WB1994PTC064125,Base
2754,Gemini Portfolios Pvt.Ltd,New Delhi,No,ICC,U74899DL1995PTC063953,Base
2755,Gems Commercial Company Ltd,Kolkata,No,ICC,L51109WB1983PLC035777,Base
2756,"Gemstone Investments Ltd,",Mumbai,No,ICC,L65990MH1994PLC081749,Base
2757,General Leasing and Finance Private Limited (Formerly J.L.K. Securities Pvt. Ltd.),Kanpur,No,ICC,U67120UR1996PTC013665,Base
2758,Genesis Commercial Pvt. Ltd,Mumbai,No,ICC,U51909MH1996PTC148671,Base
2759,Genesis Exports Ltd.,Kolkata,No,ICC,U26919WB1981PLC033906,Base
2760,Genesis Finance Company Limited,New Delhi,No,ICC,L65910DL1990PLC040705,Base
2761,Genesis Securities Pvt. Ltd.,Bhopal,No,ICC,U67120MP1994PTC008686,Base
2762,Geo VPL Finance Limited (Formerly Known As Geo Vpl Finance Pvt.Ltd .),Thiruvananthapuram,No,ICC,U65910KL1995PTC009306,Base
2763,Geofin Investments Pvt. Ltd.,New Delhi,No,ICC,U65992HR2003PTC085768,Base
2764,Geojit Credits (P) Ltd (Formerly Known as A S R Financing & Leasing (P) Ltd),Thiruvananthapuram,No,ICC,U65910KL1991PTC006106,Base
2765,GEPL Finance Pvt. Ltd.,Mumbai,No,ICC,U65190MH2007PTC174181,Base
2766,Gessup Logiststics & Finance Pvt. Ltd.,New Delhi,No,ICC,U51909DL1994PTC061886,Base
2767,GetGrowth Capital Private Limited,Mumbai,No,ICC,U65900MH2022PTC382505,Base
2768,GEV Focus Capital Private Limited,Chennai,No,ICC,U64990TN2024PTC167931,Base
2769,Ggrace Leasing Co Pvt Ltd,Thiruvananthapuram,No,ICC,U65910KL1996PTC010617,Base
2770,"Ghalla & Bhansali Securities Pvt. Ltd,",Mumbai,No,ICC,U74140MH1989PTC050716,Base
2771,Ghitora Finance & Investment Pvt. Ltd.,New Delhi,No,ICC,U67120DL1997PTC087682,Base
2772,"Ghiya Mamodiya Finance & Inv. Consultants Ltd,",Mumbai,No,ICC,U65999PN1996PTC098430,Base
2773,Ghosh Financiers & Marketiers Pvt. Ltd.,Kolkata,No,ICC,U51109WB1991PTC052881,Base
2774,Gian Finance Ltd,Kolkata,No,ICC,U65921WB1982PLC035309,Base
2775,GIC Housing Finance Limited,Mumbai,No,HFC,L65922MH1989PLC054583,Middle
2776,"Gift Holding Private Ltd,",Mumbai,No,ICC,U67120MH1986PTC039139,Base
2777,Gilada Finance and Investments Limited,Bengaluru,No,ICC,L65910KA1994PLC015981,Base
2778,Gilda Zilver Capital N Finance Private Limited (Formerly known as Padmawati Capital Services Pvt. Ltd.),Jaipur,No,ICC,U67120RJ1994PTC008906,Base
2779,Gill And Virk Finance Co. Ltd.,Chandigarh,No,ICC,U65921CH1984PLC005901,Base
2780,Gill Khera Hire Purchase Pvt. Ltd.,Kolkata,No,ICC,U65921WB1997PTC134922,Base
2781,Giltedge Vincom (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC074404,Base
2782,Giltedged Industrial Securities Limited,New Delhi,No,ICC,U65100HR1975PLC111048,Base
2783,Giltfin Lease Ltd. (Name as per MCA - Media Matrix Worldwide Limited),Mumbai,No,ICC,L32100MH1985PLC036518,Base
2784,Ginni Finance (P) Ltd,Kolkata,No,ICC,U67120WB1992PTC056017,Base
2785,Ginni Financiial Services Ltd,Kolkata,No,ICC,U65993WB1993PLC057487,Base
2786,Ginni Fincap Pvt. Ltd.,New Delhi,No,ICC,U67120DL1996PTC075644,Base
2787,Ginni Fintrade (P) Ltd,Kolkata,No,ICC,U67120WB1993PTC058312,Base
2788,Ginni Vinimay Pvt Ltd,Kolkata,No,ICC,U65191WB1996PTC077593,Base
2789,Ginny Traders Pvt Ltd,Kolkata,No,ICC,U51109WB1991PTC051282,Base
2790,Ginvani Merchants (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC069513,Base
2791,Girdhar Finlease Pvt Ltd.,New Delhi,No,ICC,U74899DL1983PTC014960,Base
2792,Girdhar Fiscal Services Pvt Ltd,Kolkata,No,ICC,U65923WB1989PTC047510,Base
2793,Girdhar Syntex Pvt. Ltd.,Kolkata,No,ICC,U51109WB1994PTC066703,Base
2794,Girdhar Tracom Pvt Ltd,Kolkata,No,ICC,U51909WB2004PTC097788,Base
2795,Girinandini Mercantile Private Limited,Kolkata,No,ICC,U51909WB1995PTC069580,Base
2796,Giriraj Commercial (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC075649,Base
2797,Giriraj Estates (P) Ltd,Kolkata,No,ICC,U70101WB1989PTC047919,Base
2798,Girnar Capital Private Limited(Khemlani Finance Pvt. Ltd.),Jaipur,No,ICC,U65921RJ1997PTC094841,Base
2799,"Gita Finvest Pvt. Ltd,",Hyderabad,No,ICC,U67120TG1996PTC024627,Base
2800,Gitabali Merchants (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC072657,Base
2801,Gitaneel Commodities (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC066969,Base
2802,Gitanjali Finance Private Limited,Kolkata,No,ICC,U65191WB1991PTC205506,Base
2803,Gitco Dealcom (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC069583,Base
2804,Gitco Vincom (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC069677,Base
2805,Gladiator Vyapaar (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC068101,Base
2806,Gladiolus Finance Consultants Private Limited,Kolkata,No,ICC,U65999WB1995PTC075994,Base
2807,Glamour Jewels Pvt Ltd,Kolkata,No,ICC,U27205WB1996PTC081040,Base
2808,Glance Finance Ltd,Mumbai,No,ICC,L65920MH1994PLC081333,Base
2809,Glaxo Finance Private Limited,Kolkata,No,ICC,U51109WB1995PTC069585,Middle
2810,Gleam Finance Pvt Ltd,Kolkata,No,ICC,U65921WB1991PTC138586,Base
2811,Gliadin Intertrade Pvt Ltd,Kolkata,No,ICC,U51909WB1995PTC070778,Base
2812,Glix Vyapaar Pvt Ltd,Kolkata,No,ICC,U67120WB1995PTC067120,Base
2813,Global Assets Leasing And Finance Private Limited,New Delhi,No,ICC,U65923DL2011PTC215809,Base
2814,Global Capital Markets Limited,Kolkata,No,ICC,L51109WB1989PLC046292,Base
2815,Global Capitalink Ltd,Kolkata,No,ICC,U74140WB1994PLC061832,Base
2816,Global Credit Capital Ltd.,New Delhi,No,ICC,U65999DL1985PLC021255,Base
2817,Global Finance & Securities Ltd.,Kolkata,No,ICC,L65991WB1994PLC061723,Base
2818,Global Fintech Private Limited,Mumbai,No,ICC,U65100MH1994PTC270728,Base
2819,Global Jindal Fin-Invest Ltd.,New Delhi,No,ICC,U65993HR1994PLC032307,Base
2820,Global Loans Private Limited,New Delhi,No,ICC,U65923DL2015PTC284077,Base
2821,Global Resins & Chemicals Ltd,Kolkata,No,ICC,U24182WB1995PLC068530,Base
2822,Global Solutions Pvt. Ltd.,New Delhi,No,ICC,U74899DL1988PTC031541,Base
2823,Globe Fincap Ltd.,New Delhi,No,ICC,U67120DL2008PLC176326,Middle
2824,Globe Stock & Securities Ltd,Kolkata,No,ICC,L67120WB1994PLC065574,Base
2825,Glofin Investment & Fin. Co. Pvt. Ltd.,New Delhi,No,ICC,U74899DL1991PTC043904,Base
2826,Gloomy Vincom P Ltd,Kolkata,No,ICC,U51109WB1994PTC065772,Base
2827,Gloria Finvest Private Ltd.,New Delhi,No,ICC,U74899DL1995PTC072373,Base
2828,Glorious Holdings Pvt Ltd,Kolkata,No,ICC,U74140MH2005PTC325397,Base
2829,Glosec Finance Private Limited,Chandigarh,No,ICC,U65921PB1971PTC003076,Base
2830,Glosil Leasing & Finance Pvt. Ltd.,New Delhi,No,ICC,U74899DL1990PTC039550,Base
2831,Glowmore Finance Private Limited,Bhubaneswar,No,ICC,U65993OR1997PTC027920,Base
2832,Glycosic Merchants (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC067153,Base
2833,GMR Enterprises Private Limited,Chennai,No,CIC,U74900TN2007PTC102389,Middle
2834,Goal Securities & Credits Ltd.,New Delhi,No,ICC,U74899DL1995PLC065515,Base
2835,Gocapital Finance Limited,Chennai,No,ICC,U67190TN1996PLC034553,Base
2836,God Gift Finvest & Leasing Pvt.Ltd.,Jaipur,No,ICC,U67120RJ1996PTC022947,Base
2837,God Speed Marketing Pvt. Ltd.,Kolkata,No,ICC,U51109WB1995PTC070861,Base
2838,Godavari Leasing & Finance Ltd,Kolkata,No,ICC,U51109WB1993PLC060456,Base
2839,Godawari Commerce (P) Ltd.,Kolkata,No,ICC,U51109WB1996PTC080248,Base
2840,Godawari Estates Private Limited,Jaipur,No,ICC,U70109RJ1989PTC060656,Base
2841,Godrej Finance Limited (Old Name Ensemble Holdings & Finance Limited),Mumbai,No,ICC,U67120MH1992PLC065457,Middle
2842,Godrej Housing Finance Limited,Mumbai,No,HFC,U65100MH2018PLC315359,Middle
2843,Goel Air Shrink (India) Ltd (Name as per MCA - PLG Power Limited),Kolkata,No,ICC,U45302WB1990PLC050413,Base
2844,Goel Investment Ltd.,Kanpur,No,ICC,U65993UP1969PLC003272,Base
2845,Goenka Business & Finance Ltd,Kolkata,No,ICC,L67120WB1987PLC042960,Base
2846,Goenka Holdings Pvt Ltd,Mumbai,No,ICC,U65990MH1988PTC049633,Base
2847,Gogia Leasing Ltd.,New Delhi,No,ICC,U74899DL1992PLC050733,Base
2848,Gokul Finance & Investment Company Private Ltd (Formerly: Gokul Finance & Investment Company Ltd),Hyderabad,No,ICC,U65993TG1989PTC009447,Base
2849,Gokul Leasing & Finance Pvt Ltd,Kolkata,No,ICC,U35911WB1996PTC138455,Base
2850,Gokulesh Commercial Pvt Ltd,Mumbai,No,ICC,U51109MH1994PTC310353,Base
2851,Gola Finance Private Limited,New Delhi,No,ICC,U64920DL1985PTC022588,Base
2852,Golcha Commodities Private Limited,Kolkata,No,ICC,U51109WB1996PTC079186,Base
2853,Gold Coin Investment Company Limited,New Delhi,No,ICC,U65993DL1980PLC010702,Base
2854,Gold Mohar Impex (P) Ltd,Kolkata,No,ICC,U51494WB1992PTC056712,Base
2855,Gold Mohore Investment Co Ltd,Kolkata,No,ICC,U67120WB1933PLC007718,Base
2856,Gold Moon Agencies (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC078722,Base
2857,Gold Rock Investments Ltd,Mumbai,No,ICC,L65990MH1978PLC020117,Base
2858,Goldedge Estate & Investments Ltd.,New Delhi,No,ICC,L70101DL1992PLC047541,Base
2859,Golden Era Merchants (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC061529,Base
2860,Golden Goenka Credit Private Limited,Kolkata,No,ICC,U65993WB1994PTC065409,Base
2861,Golden Legand Leasing & Finance Ltd.,Mumbai,No,ICC,L65990MH1984PLC033818,Base
2862,Golden Overseas Pvt. Ltd.,New Delhi,No,ICC,U51109DL2004PTC128122,Base
2863,Golden Sparrow Finance And Treasury Private Limited (Formerly Sheffield Investments Private Limited),Mumbai,No,ICC,U67120MH1985PTC035849,Base
2864,Goldenbucks Fincap Private Limited(formely known as Goyal Fincap Pvt. Ltd.),Jaipur,No,ICC,U67120RJ1995PTC010276,Base
2865,Goldencrest Financial Services Pvt. Ltd. ( Old Name - Bahirwani Investments Private Limited ),Mumbai,No,ICC,U65990MH1993PTC071015,Base
2866,"Goldenvalley Holdings Private Limited, Hyderabad",Hyderabad,No,ICC,U67120TG2007PTC052639,Base
2867,Goldfield Advisory (P) Ltd,Kolkata,No,ICC,U74140WB1993PTC058442,Base
2868,Goldline Finance Pvt Ltd,New Delhi,No,ICC,U65910DL1992PTC048205,Base
2869,Goldman Sachs (India) Capital Markets Limited {Formerly: Goldman Sachs (India) Capital Markets Private Limited},Mumbai,No,PD,U67190MH2009FLC198210,Middle
2870,Goldman Sachs (India) Finance Pvt Ltd (Formerly - Pratham Investments & Trading Pvt. Ltd.),Mumbai,No,ICC,U67120MH1991PTC063512,Middle
2871,Goldman Securities Ltd.,Kolkata,No,ICC,U65993WB1984PLC052349,Base
2872,Goldrock Travels (P) Ltd,Kolkata,No,ICC,U64120WB1994PTC064022,Base
2873,Goldstar Merchants (P) Ltd,Kolkata,No,ICC,U51909WB1993PTC057679,Base
2874,Goldview Financial Services Ltd.,Kolkata,No,ICC,U67120WB1997PLC083229,Base
2875,Goldwave Securities Ltd,Kolkata,No,ICC,U61120WB1994PLC061673,Base
2876,Goldwin Fincom Private Limited,Kolkata,No,ICC,U65100WB1995PTC069272,Base
2877,Goldwin Merchandise Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC073991,Base
2878,Goldy Finvest Pvt. Ltd,Kolkata,No,ICC,U74140WB1994PTC061680,Base
2879,Golechha Global Finance Limited,Kolkata,No,ICC,L65191WB1991PLC201747,Base
2880,Golf Link Finance & Resorts (P) Ltd,Shimla,No,ICC,U65922HP1996PTC018532,Base
2881,Golu Leasing & Finance Co. Pvt. Ltd.,New Delhi,No,ICC,U74899DL1992PTC048349,Base
2882,Golu Merchandise (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC076795,Base
2883,Golu Neha Fiscal Services (P) Ltd,Kolkata,No,ICC,U67120WB1991PTC053466,Base
2884,Gomati Holdings Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC062800,Base
2885,"Gomti Capital Markets (I) Ltd,",Mumbai,No,ICC,U65921MH1991PLC062657,Base
2886,Goneril Investment & Trading Co Ltd,Kolkata,No,ICC,L67120WB1982PLC035494,Base
2887,Good Investment (India) Ltd.,New Delhi,No,ICC,U65993DL1979PLC010060,Base
2888,Good Luck Financial Inclusion Pvt.Ltd,New Delhi,No,ICC,U65100DL1994PTC063763,Base
2889,Goodday Credit & Holdings Pvt. Ltd.,New Delhi,No,ICC,U67120DL1994PTC060153,Base
2890,Goodfaith Holdings Pvt Ltd,Kolkata,No,ICC,U70101WB1983PTC035862,Base
2891,Goodluck Advances and Finlease Limited,Chandigarh,No,ICC,U74899PB1995PLC050864,Base
2892,Goodluck Auto Finance (P) Ltd.,New Delhi,No,ICC,U65929DL1996PTC080623,Base
2893,Goodluck Capinvest Pvt Ltd.,Jaipur,No,ICC,U50101RJ1994PTC008173,Base
2894,Goodluck Commercials Ltd.,New Delhi,No,ICC,U52110DL1985PLC021267,Base
2895,Goodluck Trexim (P) Ltd,Kolkata,No,ICC,U51909WB1992PTC056596,Base
2896,Goodsarve Trexim Private Limited,Mumbai,No,ICC,U51909MH1994PTC221697,Base
2897,Goodskill Securities And Services Limited,New Delhi,No,ICC,U74899DL1990PLC040437,Base
2898,Goodvalue Securities Private Limited,Kolkata,No,Type-I,U65192WB1995PTC076113,Base
2899,Goodview Agencies (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC078171,Base
2900,Goodwave Distributors (P) Ltd,Kolkata,No,ICC,U51909WB1993PTC061215,Base
2901,Goodwill Barter (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC080303,Base
2902,Goodwill Cresec Pvt.Ltd,New Delhi,No,ICC,U67110DL1996PTC077617,Base
2903,Goodwin Financial Holdings (P) Ltd.,Hyderabad,No,ICC,U65910TG1996PTC023134,Base
2904,Goodwin Projects (P) Ltd,Kolkata,No,ICC,U70109WB1995PTC075663,Base
2905,Goodworth Build Invest Pvt. Ltd.,New Delhi,No,ICC,U67120DL1996PTC080563,Base
2906,"Goodworth Finlease Pvt. Ltd,",Mumbai,No,ICC,U65920MH1993PTC074438,Base
2907,Goodworth Holdings Pvt Ltd,Kolkata,No,ICC,U67120WB1995PTC075596,Base
2908,Goodworth Investments (P) Ltd,Kolkata,No,ICC,U51109WB1991PTC051859,Base
2909,Goodyear Exim Pvt Ltd,Kolkata,No,ICC,U51109WB1993PTC058250,Base
2910,Goolestan Investments Private Limited,Mumbai,No,Type-I,U24240MH1989PTC051218,Base
2911,Gopal Holdings Pvt. Ltd,Kolkata,No,ICC,U65999WB1990PTC049643,Base
2912,Gopalka Motor Investo (P) Ltd.,Kolkata,No,ICC,U65922WB1989PTC047242,Base
2913,Gopalka Savings & Investments (P) Ltd,Kolkata,No,ICC,U65992WB1973PTC028892,Base
2914,Gopi Securities Pvt Ltd.,New Delhi,No,ICC,U74899DL1994PTC062391,Base
2915,Gopikar Supply (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC076501,Base
2916,Gopura Commodities (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC069794,Base
2917,Goranath Mercantile Private Limited,Kolkata,No,Type-I,U65100WB2017PTC221334,Base
2918,Gosree Finance Limited,Thiruvananthapuram,No,ICC,U65990KL2013PLC035734,Base
2919,Gourav Finance Private Limited,New Delhi,No,ICC,U65191DL1996PTC332241,Base
2920,Gove Finance Limited,Chennai,No,ICC,U65921TN1983PLC010029,Base
2921,Govind Commercial Company Ltd,Kolkata,No,ICC,U65993WB1980PLC032463,Middle
2922,Govind Promoters (P) Ltd,Kolkata,No,ICC,U65921WB1991PTC051727,Base
2923,Govind Vallabh Financial Services Pvt. Ltd,Mumbai,No,ICC,U65990MH1992PTC067770,Base
2924,Gowra Leasing & Finance Ltd.,Hyderabad,No,ICC,L65910TG1993PLC015349,Base
2925,Goyal Achal Sampatti Vikas And Niyojan Nigam Ltd,New Delhi,No,ICC,L45201DL1996PLC193957,Base
2926,Goyal Associates Ltd.,Ahmedabad,No,ICC,L74999GJ1994PLC023281,Base
2927,Goyal Commercial Private Ltd,Kolkata,No,ICC,U51109WB1987PTC043410,Base
2928,Goyal Financial Ventures Private Limited (Formerly Rajgharana Merchants Pvt. Ltd.),Mumbai,No,ICC,U66190MH1995PTC428335,Base
2929,GPL Finance And Investments Private Limited,Mumbai,No,ICC,U65990MH1994PTC076332,Base
2930,GPT Sons Private Limited,Kolkata,No,CIC,U65990WB2010PTC151906,Middle
2931,Graceway Investment Ltd.,New Delhi,No,ICC,U67120DL1997PLC085595,Base
2932,Gracious Portfolio (Pvt.) Ltd.,New Delhi,No,ICC,U67120DL1996PTC077584,Base
2933,Grade Merchandise (P) Ltd (Name as per MCA - Incredible Finesse Private Limited),Kolkata,No,ICC,U51109WB1993PTC061151,Base
2934,Graduate Portfolio Ltd.,New Delhi,No,ICC,U65910DL1996PLC075404,Base
2935,Graffco Sales (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC081654,Base
2936,Grafton Merchants (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC065690,Base
2937,Gram Swaraj Pvt. Ltd.,Mumbai,No,ICC,U74900MH2007PTC169574,Base
2938,Gramadhar Finserve Private Limited,Ahmedabad,No,ICC,U65990GJ2018PTC105113,Base
2939,Grameen Development & Finance Private Limited,Guwahati,No,MFI,U65921AS1999PTC011755,Base
2940,Grameen Impact Investments India Pvt. Ltd.,Mumbai,No,ICC,U74899MH1986PTC270889,Base
2941,Grameen Shakti Microfinance Services Private Limited,Kolkata,No,MFI,U51434WB1993PTC058849,Base
2942,Grand Finance & Estates (P) Ltd,Thiruvananthapuram,No,ICC,U65910KL1995PTC009201,Base
2943,Grand Motor & Finance (P) Ltd.,New Delhi,No,ICC,U67100DL1962PTC003720,Base
2944,Grandhi Enterprises Private Limited (Transfered From Chennai Formerly Bluemoon Investments P Ltd),Bengaluru,No,ICC,U67120KA1993PTC032115,Middle
2945,Grapes Global Investments Private Limited,New Delhi,No,Type-I,U65929DL2021PTC390536,Base
2946,Graph Financial Service Pvt. Ltd.,Kanpur,No,ICC,U74899UP1995PTC175650,Base
2947,Gravity Financial Services (P) Ltd,Kolkata,No,ICC,U67120WB1996PTC078041,Base
2948,Gravity Sales Agency Pvt Ltd,Kolkata,No,ICC,U51109WB1996PTC077443,Base
2949,Gray Investments Private Limited,Mumbai,No,Type-I,U65910MH1994PTC083775,Base
2950,Grd Capital Markets Limited,Kolkata,No,ICC,U65921WB1995PLC069047,Base
2951,GRD Finance Pvt. Ltd.,Kolkata,No,ICC,U51909WB1994PTC063244,Base
2952,Gream Traders & Expoters (P) Ltd,Kolkata,No,ICC,U51909WB1981PTC033474,Base
2953,Great Meera Finlease Pvt.Ltd,Chennai,No,ICC,U71309TN1997PTC038023,Base
2954,Great Western Suppliers Agency Pvt Ltd,Kanpur,No,ICC,U51909UP1991PTC106164,Base
2955,Greatfin Leasing & Credit Ltd.,New Delhi,No,ICC,U65990DL1993PLC239393,Base
2956,Greatwall Vanijya Limited,Kolkata,No,ICC,U74110WB1995PLC069236,Base
2957,Greaves Finance Limited,Mumbai,No,ICC,U29299MH1958PLC011250,Base
2958,Green Field Farm Pvt. Ltd.,Kolkata,No,ICC,U01132WB1990PTC049898,Base
2959,Green Field Vyapaar (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC078059,Base
2960,Green Gold Mercantile (P) Ltd,Kolkata,No,ICC,U51109WB1991PTC052465,Base
2961,Green Hill Estates & Finance Pvt Ltd,New Delhi,No,ICC,U69175DL1998PTC372331,Base
2962,Green Malabar Finance Ventures Limited,Chennai,No,ICC,U65991TN1990PLC018744,Base
2963,Green Mark Securities (P) Ltd,Kolkata,No,ICC,U65993WB1994PTC065341,Base
2964,Green Park Leafin (P) Ltd,Kolkata,No,ICC,U65921WB1997PTC084277,Base
2965,Green Valley Finance & Leasing Pvt. Ltd,New Delhi,No,ICC,U65921DL1992PTC049923,Base
2966,Greenchip Trexim Pvt. Ltd.,Kolkata,No,ICC,U51109WB1993PTC060124,Base
2967,Greencrest Financial Services Limited,Kolkata,No,ICC,L65921WB1993PLC057785,Base
2968,Greenfinch Capital and Investment Private Limited,Jaipur,No,ICC,U66190RJ2023PTC090996,Base
2969,Greenland Commodities Pvt Ltd,Kolkata,No,ICC,U51909WB1996PTC077620,Base
2970,Greenland Finance & Leasing Pvt. Ltd.,New Delhi,No,ICC,U65910DL1996PTC082946,Base
2971,Greenline Tracon Private Limited,Kolkata,No,ICC,U51109WB1995PTC074890,Base
2972,"Greenstone Investments Pvt. Ltd,",Mumbai,No,ICC,U65990MH1978PTC020803,Base
2973,Greenview Investment & Trading Co (P) Ltd,Kolkata,No,ICC,U65993WB1993PTC057747,Base
2974,Greenwings Innovative Finance Private Limited,Jaipur,No,ICC,U65999RJ2018PTC061523,Base
2975,Greerex (India) Pvt Ltd,Kolkata,No,ICC,U51909WB1983PTC036911,Base
2976,Greet Investment Finance And Trading Private Limited,Thiruvananthapuram,No,ICC,U65993KL1991PTC006199,Base
2977,Gregory Credit (P) Ltd,Kolkata,No,ICC,U65993WB1997PTC083012,Base
2978,Greshma Finvest Private Limited,Mumbai,No,ICC,U65999MH2010PTC208887,Base
2979,Grewal Brothers Finance Company Private Limited,Thiruvananthapuram,No,ICC,U65921KL1995PTC047187,Base
2980,Grewal Steel & Holdings (P) Ltd,Kolkata,No,ICC,U27109WB1989PTC047592,Base
2981,Grih Lakshmi Capital Finance Pvt. Ltd.,New Delhi,No,ICC,U74899DL1986PTC024473,Base
2982,Grihum Housing Finance Limited,Mumbai,No,HFC,U65922PN2004PLC208751,Middle
2983,Grj Trades & Finance Ltd.,New Delhi,No,ICC,U74899DL1994PLC062773,Base
2984,GRML Capital Markets Ltd (Name as per MCA - Zigma Software Limited),Kolkata,No,ICC,L51909WB1989PLC046922,Base
2985,Gromor Finance Private Limited,Mumbai,No,ICC,U65990MH1997PTC110103,Base
2986,Grow Money Capital Pvt Ltd (Formerly Eclear Leasing & Finance Pvt Ltd),New Delhi,No,ICC,U74899DL1995PTC069216,Base
