sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
65,Aakarshak Synthetics Ltd.,Mumbai,No,ICC,U18101MH1987PLC134933,Base
66,Aalekha Supply (P) Ltd.,Kolkata,No,ICC,U51909WB1995PTC067453,Base
67,Aalok Deep Finance Pvt. Ltd.,Bhopal,No,ICC,U65921MP1995PTC009402,Base
68,Aamara Capital Pvt Ltd.,Mumbai,No,ICC,U51909MH1994PTC377962,Base
69,Aamcol Trexim (P) Ltd,Kolkata,No,ICC,U67120WB1994PTC062531,Base
70,Aan Finance And Investment Private Limited,Hyderabad,No,ICC,U65929TG2019PTC133298,Base
71,Aar Kay Finlease (P) Ltd.,New Delhi,No,ICC,U74899DL1991PTC042743,Base
72,Aaradhya Capital Private Limited,Jaipur,No,Type-I,U65929RJ2017PTC059617,Base
73,Aarambh Securities Limited,New Delhi,No,ICC,U67120DL1996PLC075367,Base
74,Aarchi Consultancy (P) Ltd,Kolkata,No,ICC,U74140WB1993PTC060953,Base
75,Aardee Credits (P) Ltd,Kolkata,No,ICC,U51226WB1990PTC048516,Base
76,Aarkay Investments (P) Ltd,Kolkata,No,ICC,U65921WB1995PTC074304,Base
77,Aarkay Tie-Up Pvt. Ltd.,Kolkata,No,ICC,U51109WB1996PTC077235,Base
78,Aarpee Commercial Co (P) Ltd,Kolkata,No,ICC,U51909WB1990PTC048799,Base
79,Aarsh Fincon Limited(Formerly Known as Akme Fincon Ltd.),Jaipur,No,ICC,U67120RJ1994PLC008642,Base
80,Aarthik Finance & Leasing Pvt. Ltd.,New Delhi,No,ICC,U74899DL1995PTC067654,Base
81,Aarti Corporate Services Ltd.,Mumbai,No,ICC,U67120MH1995PTC084963,Base
82,Aarti Marketings Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC058119,Base
83,Aashiyana Goods (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC072747,Base
84,Aashrit Capital Limited,New Delhi,No,ICC,L65923DL1972PLC317436,Base
85,Aashriya Capital & Financial Services Pvt Ltd,Chandigarh,No,ICC,U65921PB2007PTC031529,Base
86,Aasman Kamraz Leasing & Hire Purchase Company Pvt Ltd,Jammu,No,ICC,U65921JK1997PTC001645,Base
87,Aasra Fincorp Private Limited,Kanpur,No,MFI,U65921UP1995PTC086551,Base
88,Aastamangalam Finance Limited(Formerly Known As Upasana Finance Limited),Chennai,No,ICC,L65191TN1985PLC011503,Base
89,Aastha Chemical (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC068451,Base
90,Aatma Capital Private Limited,Chennai,No,ICC,U65990TN2018PTC126529,Base
91,Aavas Financiers Limited,Mumbai,No,HFC,L65922RJ2011PLC034297,Middle
92,Aawkins Tracom (P) Ltd,Kolkata,No,ICC,U65990WB1994PTC065333,Base
93,Aay Jay Consultants & Investment (P) Ltd,Kolkata,No,ICC,U74140WB1991PTC053745,Base
94,Aayush Manufacturers & Financiers Pvt. Ltd.,Kolkata,No,ICC,U51109WB1990PTC049414,Base
95,Aayush Motor Finance Private Limited (Received From Ro Lucknow),Kolkata,No,ICC,U65921WB1995PTC151298,Base
96,AB Leasing & Finance Limited,Bhopal,No,ICC,U67120MP1996PLC010987,Base
97,Abans Finance Private Limited,Mumbai,No,ICC,U51219MH1995PTC231627,Middle
98,Abbot Tracon Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC070575,Base
99,ABC Financial Services (P) Ltd .,Kolkata,No,ICC,U65993WB1994PTC062887,Base
100,Abha Property Project Limited,Kolkata,No,ICC,L51909WB2001PLC093941,Base
